name,url
[BD]us cinemax,https://stream1.freetv.fun/us-cinemax-1.ctv
[SD]classic movies channel,https://stream1.freetv.fun/classic-movies-channel-2.m3u8
[SD]30a tv classic movies,https://stream1.freetv.fun/30a-tv-classic-movies-2.m3u8
[VGA]tvs classic movies,https://stream1.freetv.fun/tvs-classic-movies-1.m3u8
[BD]classic movies =,https://stream1.freetv.fun/classic-movies-2.ctv
[SD]pluto tv classic movies,https://stream1.freetv.fun/pluto-tv-classic-movies-1.m3u8
[BD]concord tv,https://stream1.freetv.fun/concord-tv-1.m3u8
[BD]rakuten tv comedy movies[geo-blocked],https://stream1.freetv.fun/rakuten-tv-comedy-movies-3.m3u8
[SD]pluto tv comedy movies,https://stream1.freetv.fun/pluto-tv-comedy-movies-1.m3u8
[HD]court tv,https://stream1.freetv.fun/court-tv-1.m3u8
[BD]us court tv,https://stream1.freetv.fun/us-court-tv-1.ctv
[HD]crime plus investigation,https://stream1.freetv.fun/crime-plus-investigation-1.m3u8
[BD]ci罪案侦缉 *wj,https://stream1.freetv.fun/cizui-an-zhen-qi---wj-1.m3u8
[SD]discovery science *m[geo-blocked],https://stream1.freetv.fun/discovery-science--m-3.ctv
[BD]diy network *m[geo-blocked],https://stream1.freetv.fun/diy-network--m-1.ctv
[SD]diy network ==,https://stream1.freetv.fun/diy-network-1.ctv
[HD]ning tv,https://stream1.freetv.fun/ning-tv-1.m3u8
[HD]jin tv,https://stream1.freetv.fun/jin-tv-1.m3u8
[HD]discovery family channel,https://stream1.freetv.fun/discovery-family-channel-1.m3u8
[HD]discovery family *m[geo-blocked],https://stream1.freetv.fun/discovery-family--m-1.ctv
[SD]discovery *m[geo-blocked],https://stream1.freetv.fun/discovery--m-2.ctv
[BD]discovery uhd *m[geo-blocked],https://stream1.freetv.fun/discovery-uhd--m-1.ctv
[HD]discovery life =,https://stream1.freetv.fun/discovery-life-4.ctv
[SD]discovery life *m[geo-blocked],https://stream1.freetv.fun/discovery-life--m-1.ctv
[HD]discovery velocity *m[geo-blocked],https://stream1.freetv.fun/discovery-velocity--m-1.ctv
[BD]disney=,https://stream1.freetv.fun/disney-2.ctv
[HD]disney xd(mas) =[geo-blocked],https://stream1.freetv.fun/disney-xd-1.ctv
[HD]usa-disney jr,https://stream1.freetv.fun/usa-disney-jr-1.ctv
[HD]disney channel ==,https://stream1.freetv.fun/disney-channel-18.ctv
[HD]disney jr,https://stream1.freetv.fun/disney-jr-5.m3u8
[VGA]disney junior[geo-blocked],https://stream1.freetv.fun/disney-junior-9.ctv
[BD]ช่อง dove channel,https://stream1.freetv.fun/ch-ng-dove-channel-1.m3u8
[SD]e!entertainment =,https://stream1.freetv.fun/e-entertainment-2.ctv
[HD]espn brasil 2,https://stream1.freetv.fun/espn-brasil-2-2.ctv
[HD]espn brasil 3,https://stream1.freetv.fun/espn-brasil-3-1.ctv
[HD]us espn 2,https://stream1.freetv.fun/us-espn-2-1.ctv
[HD]espn,https://stream1.freetv.fun/espn-2.ctv
[HD]espn *s[geo-blocked],https://stream1.freetv.fun/espn--s-1.m3u8
[HD]us espn news,https://stream1.freetv.fun/us-espn-news-1.ctv
[HD]espnews,https://stream1.freetv.fun/espnews-1.m3u8
[HD]espn u,https://stream1.freetv.fun/espn-u-2.m3u8
[HD]ewtn africa asia[geo-blocked],https://stream1.freetv.fun/ewtn-africa-asia-1.m3u8
[SD]ewtn asia-pacific (720p) [not 24/7][geo-blocked],https://stream1.freetv.fun/ewtn-asia-pacific-4.m3u8
[HD]ewtn[geo-blocked],https://stream1.freetv.fun/ewtn-3.m3u8
[HD]ewtn el canal católico[geo-blocked],https://stream1.freetv.fun/ewtn-el-canal-catolico-1.m3u8
[HD]esports max,https://stream1.freetv.fun/esports-max-1.m3u8
[BD]cine estrella,https://stream1.freetv.fun/cine-estrella-1.m3u8
[BD]estrella tv,https://stream1.freetv.fun/estrella-tv-1.m3u8
[BD]estrella tv east,https://stream1.freetv.fun/estrella-tv-east-1.m3u8
[HD]entella tv,https://stream1.freetv.fun/entella-tv-2.m3u8
[HD]food network,https://stream1.freetv.fun/food-network-8.m3u8
[HD]fox 13 seattle wa,https://stream1.freetv.fun/fox-13-seattle-wa-1.m3u8
[HD]fox 5 new york ny,https://stream1.freetv.fun/fox-5-new-york-ny-1.m3u8
[HD]fox 11 los angeles ca,https://stream1.freetv.fun/fox-11-los-angeles-ca-1.m3u8
[SD]abc 7 los angeles ca (kabc-tv) (720p),https://stream1.freetv.fun/abc-7-los-angeles-ca-1.m3u8
[HD]fox news *wj,https://stream1.freetv.fun/fox-news--wj-1.m3u8
[BD]fox now[geo-blocked],https://stream1.freetv.fun/fox-now-1.m3u8
[BD]fox sports,https://stream1.freetv.fun/fox-sports-2.m3u8
[HD]fox sports en espanol,https://stream1.freetv.fun/fox-sports-en-espanol-1.m3u8
[HD]ช่อง fox sports southwest plus,https://stream1.freetv.fun/ch-ng-fox-sports-southwest-plus-1.m3u8
[VGA]fox sports 2,https://stream1.freetv.fun/fox-sports-2-4.ctv
[SD]fox sport 2,https://stream1.freetv.fun/fox-sport-2-2.ctv
[HD]hmong tv network,https://stream1.freetv.fun/hmong-tv-network-2.m3u8
[BD]fubo sports network,https://stream1.freetv.fun/fubo-sports-network-1.m3u8
[HD]us fxm,https://stream1.freetv.fun/us-fxm-1.ctv
[HD]fxm ===,https://stream1.freetv.fun/fxm-1.ctv
[HD]ca fxx,https://stream1.freetv.fun/ca-fxx-1.ctv
[HD]us fxx,https://stream1.freetv.fun/us-fxx-1.ctv
[BD]sports first[geo-blocked],https://stream1.freetv.fun/sports-first-1.m3u8
